OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA,OWNER
282368370,265,Cordell & Norfolk Ave,32008,38.98954,-77.098029,YES,NO,,,NO,9,2,391507.26098283,146849.60289105,,
282368371,266,Frederick Ave & Horners Ln,32009,39.094772,-77.145213,YES,NO,,,NO,2,7,387438.06215384,158536.96474703,,
282368372,267,Philadelphia & Maple Ave,32010,38.98128,-77.011336,YES,NO,,,NO,9,6,399017.79198301,145928.16270611,,
282368373,268,Maple & Ritchie Ave,32011,38.983627,-77.006311,YES,NO,,,NO,10,8,399453.20125046,146188.66055368,,
282368374,269,Silver Spring Metro / Colesville Rd & Wayne Ave,32012,38.994896,-77.029532,YES,NO,,,NO,7,8,397441.68810088,147440.02631442,,
282368375,270,Montgomery & East Ln,32013,38.983525,-77.095367,YES,NO,,,NO,8,3,391737.18561936,146181.63464028,,
282368376,271,Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir,32014,38.961763,-77.085998,YES,NO,,,NO,12,7,392546.66110808,143765.03951761,,
282368377,272,14th & Belmont St NW,31119,38.921074,-77.031887,YES,NO,,,NO,0,12,397234.815588,139245.17181709,,DC
282368378,273,3rd & Tingey St SE,31634,38.87501,-77.0024,YES,NO,,,NO,12,7,399791.74179325,134131.220022,,DC
282368379,274,10th & Florida Ave NW,31120,38.920387,-77.025672,YES,NO,,,NO,0,19,397773.74796634,139168.73911509,,DC
282368380,275,Potomac Ave & 8th St SE,31635,38.876737,-76.994468,YES,NO,,,NO,8,7,400480.02354886,134322.94186107,,DC
282368381,276,Crabbs Branch Way & Redland Rd,32015,39.120045,-77.156985,YES,NO,,,NO,4,11,386424.52768958,161344.27440776,,
282368382,277,Fallsgrove Dr & W Montgomery Ave,32016,39.099376,-77.188014,YES,NO,,,NO,1,14,383736.53425668,159054.82333901,,
