OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA,OWNER
282368230,28,Georgia & New Hampshire Ave NW,31400,38.936043,-77.024649,YES,NO,,,NO,2,13,397862.93084314,140906.66509731,,DC
282368231,29,14th St & Spring Rd NW,31401,38.9375,-77.0328,YES,NO,,,NO,4,15,397156.2969996,141068.6272297,,DC
282368232,30,John McCormack Dr & Michigan Ave NE,31502,38.9346,-76.9955,YES,NO,,,NO,9,2,400390.15805724,140746.2005855,,DC
282368233,31,5th & K St NW,31600,38.90304,-77.019027,YES,NO,,,NO,1,17,398349.59483465,137242.93793811,,DC
282368234,32,19th & East Capitol St SE,31601,38.8896,-76.9769,YES,NO,,,NO,8,7,402004.07538839,135751.07274551,,DC
282368235,33,Park Rd & Holmead Pl NW,31602,38.9308,-77.0315,YES,NO,,,NO,0,19,397268.74809473,140324.82919203,,DC
282368236,34,Good Hope & Naylor Rd SE,31700,38.860227,-76.966572,YES,NO,,,NO,7,4,402901.2905676,132490.726232,,DC
282368237,35,Connecticut Ave & Newark St NW / Cleveland Park,31305,38.934267,-77.057979,YES,NO,,,NO,10,0,394973.09374685,140710.82140544,,DC
282368238,36,Randle Circle & Minnesota Ave SE,31702,38.878,-76.9607,YES,NO,,,NO,4,7,403410.08514111,134463.86390983,,DC
282368239,37,Minnesota Ave Metro/DOES,31703,38.897063,-76.947446,YES,NO,,,NO,4,11,404558.92450764,136580.58329247,,DC
282368240,38,Nannie Helen Burroughs & Minnesota Ave NE,31704,38.901385,-76.941877,YES,NO,,,NO,6,5,405041.71541905,137060.65262358,,DC
282368241,39,Anacostia Metro,31801,38.862669,-76.994637,YES,NO,,,NO,7,4,400465.45079874,132761.28847182,,DC
282368242,40,Good Hope Rd & MLK Ave SE,31802,38.867373,-76.988039,YES,NO,,,NO,7,3,401038.0179126,133283.52133563,,DC
282368243,41,19th & E Street NW,31206,38.8952,-77.0436,YES,NO,,,NO,10,1,396217.71315484,136373.36645763,,DC
282368244,42,4th & W St NE,31500,38.919077,-77.000648,YES,NO,,,NO,7,8,399943.80500792,139023.00525965,,DC
